;AET;ANTM;CI;FLVEX
179;106.07;153.25;125.01;11.21
180;105.4;153.3;124.85;11.27
181;107.48;157.39;127.49;11.24
182;108.31;157.32;128.1;11.26
183;108.63;158.38;128.38;11.3
184;109.26;157.57;128.42;11.31
185;108.74;157.6;129.57;11.27
186;107.29;154.42;126.91;11.32
187;105.91;152.82;126.21;11.33
188;107.4;156.27;128.98;11.2
189;108.57;156.85;129.96;11.28
190;106.53;154.41;129.44;11.25
191;106.87;153.99;130.37;11.3
192;107.15;153.95;130.47;11.31
193;107.83;155.43;131.81;11.31
194;106.79;155.19;129.88;11.24
195;107.46;154.64;131.49;11.29
196;107.72;153.49;132.18;11.24
197;107.91;153.92;133.31;11.15
198;107.69;153.51;132.8;11.32
199;107.88;154.25;132.9;11.21
200;106.08;151.3;130.22;11.17
201;109.43;154.93;132.8;11.22
202;107.72;152.48;131.13;11.36
203;107.25;152.87;130.27;11.27
204;108.36;152.88;130.7;11.29
205;107.95;152.84;130.25;11.38
206;108.9;154.2;130.57;11.38
207;108.82;154.28;130.66;11.43
208;106.92;151.02;130.25;11.44
209;110.38;154.22;131.71;11.44
210;108.01;151.07;126.68;11.45
211;106.87;150.93;124.64;11.42
212;108.47;153.23;125.49;11.31
213;109.19;155.84;126.73;11.4
214;107.2;154.2;125.25;11.4
215;107.37;159.85;125.29;11.36
216;107.89;155.8;126.49;11.36
217;109.26;158.4;128.49;11.34
218;109.3;158.81;128.3;11.37
219;110.08;158.47;131.86;11.27
220;109.79;158.79;131.69;11.25
221;111.48;160;131.85;11.19
222;112.74;161.37;132.06;11.2
223;113.73;163.25;133.27;11.33
224;114.09;164.44;133.78;11.37
225;114.4;163.57;133.66;11.3
226;114.69;164.62;132.95;11.25
227;114.52;164.19;135.86;11.32
228;113.88;162.34;133.91;11.34
229;115.21;163.38;134.94;11.4
230;116.39;164.22;135.87;11.46
231;117.97;167.85;140.83;11.48
232;119.62;168.07;143.86;11.37
233;117.33;164.14;141.51;11.33
234;116.95;163.76;140.15;11.32
